Model #Params: 5110K
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:46: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:44: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
KL: 300.6, Word: 17.57, Topo: 71.68, Assm: 54.22, Steo: 37.75
KL: 218.2, Word: 26.66, Topo: 85.54, Assm: 59.00, Steo: 46.31
KL: 195.1, Word: 33.33, Topo: 89.39, Assm: 60.95, Steo: 40.92
KL: 194.6, Word: 39.94, Topo: 90.23, Assm: 59.51, Steo: 39.38
KL: 226.9, Word: 47.09, Topo: 91.51, Assm: 59.25, Steo: 41.50
KL: 247.8, Word: 49.09, Topo: 91.81, Assm: 62.46, Steo: 45.15
KL: 237.2, Word: 52.75, Topo: 92.45, Assm: 62.30, Steo: 52.17
KL: 237.5, Word: 54.90, Topo: 92.30, Assm: 61.57, Steo: 41.25
KL: 242.8, Word: 57.36, Topo: 92.77, Assm: 61.19, Steo: 52.44
KL: 254.5, Word: 57.91, Topo: 92.91, Assm: 62.71, Steo: 50.00
KL: 246.3, Word: 59.91, Topo: 93.73, Assm: 62.04, Steo: 72.20
KL: 258.5, Word: 61.13, Topo: 93.62, Assm: 63.94, Steo: 93.33
KL: 283.7, Word: 63.73, Topo: 93.73, Assm: 62.73, Steo: 100.00
KL: 312.1, Word: 63.11, Topo: 93.76, Assm: 62.52, Steo: 95.67
KL: 326.8, Word: 64.45, Topo: 93.29, Assm: 63.08, Steo: 95.25
KL: 278.7, Word: 65.48, Topo: 93.64, Assm: 63.83, Steo: 97.62
KL: 322.7, Word: 66.43, Topo: 93.93, Assm: 63.94, Steo: 99.00
KL: 293.6, Word: 66.76, Topo: 93.92, Assm: 64.89, Steo: 100.00
KL: 343.8, Word: 67.59, Topo: 94.24, Assm: 65.12, Steo: 88.00
KL: 360.6, Word: 68.31, Topo: 94.47, Assm: 66.32, Steo: 98.33
KL: 338.0, Word: 67.70, Topo: 94.59, Assm: 65.26, Steo: 96.79
KL: 376.3, Word: 70.22, Topo: 94.78, Assm: 66.26, Steo: 97.50
KL: 374.8, Word: 69.68, Topo: 94.87, Assm: 65.82, Steo: 96.08
KL: 395.3, Word: 70.69, Topo: 94.66, Assm: 65.20, Steo: 96.25
KL: 420.5, Word: 71.32, Topo: 94.97, Assm: 65.55, Steo: 100.00
KL: 419.5, Word: 70.32, Topo: 95.05, Assm: 66.38, Steo: 97.50
KL: 395.3, Word: 71.22, Topo: 94.50, Assm: 65.48, Steo: 100.00
KL: 438.7, Word: 71.09, Topo: 95.01, Assm: 67.20, Steo: 99.00
KL: 424.5, Word: 72.76, Topo: 94.86, Assm: 66.85, Steo: 99.17
KL: 425.6, Word: 72.70, Topo: 95.45, Assm: 67.73, Steo: 95.00
KL: 449.0, Word: 73.72, Topo: 95.33, Assm: 66.88, Steo: 98.33
KL: 446.4, Word: 73.52, Topo: 95.58, Assm: 68.96, Steo: 100.00
KL: 461.9, Word: 73.15, Topo: 95.68, Assm: 68.78, Steo: 100.00
KL: 465.1, Word: 73.54, Topo: 95.68, Assm: 70.84, Steo: 100.00
KL: 479.1, Word: 73.89, Topo: 95.04, Assm: 69.11, Steo: 97.08
KL: 474.2, Word: 73.51, Topo: 95.55, Assm: 70.25, Steo: 99.00
KL: 513.2, Word: 74.62, Topo: 95.23, Assm: 69.47, Steo: 100.00
KL: 482.4, Word: 74.88, Topo: 95.93, Assm: 71.40, Steo: 100.00
KL: 488.0, Word: 74.65, Topo: 95.68, Assm: 70.43, Steo: 100.00
KL: 522.7, Word: 75.41, Topo: 95.87, Assm: 70.96, Steo: 100.00
KL: 500.6, Word: 75.44, Topo: 96.16, Assm: 71.33, Steo: 98.75
KL: 505.4, Word: 75.23, Topo: 95.87, Assm: 72.39, Steo: 100.00
KL: 514.0, Word: 75.89, Topo: 96.33, Assm: 73.98, Steo: 100.00
KL: 516.3, Word: 76.63, Topo: 96.06, Assm: 74.64, Steo: 100.00
KL: 555.1, Word: 76.02, Topo: 96.58, Assm: 74.98, Steo: 100.00
KL: 510.3, Word: 76.69, Topo: 96.57, Assm: 74.69, Steo: 100.00
KL: 539.2, Word: 77.33, Topo: 96.39, Assm: 75.88, Steo: 100.00
KL: 541.4, Word: 76.89, Topo: 96.38, Assm: 77.12, Steo: 100.00
KL: 552.2, Word: 77.34, Topo: 96.20, Assm: 76.12, Steo: 100.00
KL: 552.3, Word: 77.86, Topo: 96.47, Assm: 74.89, Steo: 100.00
KL: 536.8, Word: 77.61, Topo: 96.61, Assm: 76.65, Steo: 100.00
KL: 569.8, Word: 78.16, Topo: 96.57, Assm: 76.63, Steo: 100.00
KL: 558.3, Word: 78.42, Topo: 96.51, Assm: 74.82, Steo: 100.00
KL: 589.9, Word: 78.78, Topo: 96.53, Assm: 76.24, Steo: 100.00
KL: 605.1, Word: 79.12, Topo: 96.70, Assm: 75.55, Steo: 98.75
KL: 600.0, Word: 78.79, Topo: 96.61, Assm: 77.54, Steo: 99.17
KL: 660.5, Word: 78.79, Topo: 96.80, Assm: 77.62, Steo: 100.00
KL: 568.0, Word: 78.17, Topo: 96.40, Assm: 76.81, Steo: 100.00
KL: 601.8, Word: 79.18, Topo: 97.05, Assm: 78.12, Steo: 100.00
KL: 616.7, Word: 80.54, Topo: 97.23, Assm: 77.65, Steo: 100.00
KL: 608.1, Word: 79.83, Topo: 96.76, Assm: 78.70, Steo: 100.00
KL: 633.0, Word: 79.56, Topo: 96.91, Assm: 78.37, Steo: 100.00
KL: 623.5, Word: 80.20, Topo: 96.83, Assm: 78.38, Steo: 100.00
KL: 610.4, Word: 79.93, Topo: 96.91, Assm: 80.12, Steo: 100.00
KL: 624.4, Word: 80.20, Topo: 97.11, Assm: 78.56, Steo: 100.00
KL: 590.3, Word: 80.09, Topo: 97.14, Assm: 78.98, Steo: 100.00
KL: 604.7, Word: 80.89, Topo: 97.22, Assm: 78.38, Steo: 100.00
KL: 636.0, Word: 80.78, Topo: 97.17, Assm: 79.28, Steo: 100.00
KL: 683.8, Word: 80.84, Topo: 96.98, Assm: 80.63, Steo: 100.00
KL: 636.2, Word: 81.02, Topo: 97.10, Assm: 77.65, Steo: 100.00
KL: 574.6, Word: 81.60, Topo: 97.18, Assm: 79.16, Steo: 100.00
